RICE (Variety 1) collected in FIELD 1 &2of KWARA STATE,Nigeria,Kwara,Rice,Long Grain,0.03,8.91,0.8,48.91,88.62
RICE (Variety 1) collected in FIELD 1& 2 of OYO STATE,Nigeria,Oyo,Rice,Long Grain,0.02,9.64,0.48,52.455,88.2
RICE (Long grain variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Rice,Long Grain,0,8.46,0.685,11.98,89.565
RICE (Long grain variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Rice,Long Grain,0.01,7.6,0.78,54.555,89.995
RICE (Variety 2) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Rice,Short Grain,0.005,7.775,0.155,21.735,90.23
RICE (Variety 2) collected in FIELD 1&2 of KWARA STATE,Nigeria,Kwara,Rice,Short Grain,0,8.355,0.735,38.31,89.46
RICE (Variety 2) collected in FIELD 1& 2 of OYO STATE,Nigeria,Oyo,Rice,Short Grain,0.01,8.985,0.635,25.545,88.7
RICE (Short grain variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Rice,Short Grain,0.045,8.935,0.585,22.435,89.155
RICE (Short grain variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Rice,Short Grain,0.065,7.945,0.69,21.605,89.795
AMARANTH (Variety 1) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Amaranth,V1,10.165,34.305,2.565,762.09,34.85
AMARANTH (Variety 1) collected in FIELD 1 &2of KWARA STATE,Nigeria,Kwara,Amaranth,V1,13.425,31.345,2.69,336.655,34.63
AMARANTH (Variety 1) collected in FIELD 1& 2 of OYO STATE,Nigeria,Oyo,Amaranth,V1,8.935,26.645,2.505,322.535,43.755
OKRO (Long Variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Okro,Long,31.69,21.365,14.71,48.175,26.1
OKRO (Long Variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Okro,Long,33.17,22.46,16.205,44.465,22.05
AMARANTH (Variety 2) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Amaranth,V2,12.745,28.065,2.3,582.89,37.655
AMARANTH (Variety 2) collected in FIELD 1&2 of KWARA STATE,Nigeria,Kwara,Amaranth,V2,12.685,31.29,1.685,882.27,33.915
AMARANTH (Variety 2) collected in FIELD 1 & 2 of OYO STATE,Nigeria,Oyo,Amaranth,V2,11.985,23.41,2.095,593.37,42.235
OKRO (Short Variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Okro,Short,31.82,22.825,15.84,43.05,23.295
OKRO (Short Variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Okro,Short,29.625,26.56,17.675,76.36,19.785
